Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.4913995781571597
100% Corpus,2,0.01,0.31,0.4601348145742704
100% Corpus,2,0.01,0.61,0.418205898679261
100% Corpus,2,0.01,0.9099999999999999,0.5069231273101842
100% Corpus,2,0.01,symmetric,0.48900518512844365
100% Corpus,2,0.31,0.01,0.48915605137005685
100% Corpus,2,0.31,0.31,0.43963457177164045
100% Corpus,2,0.31,0.61,0.4300476153450741
100% Corpus,2,0.31,0.9099999999999999,0.5253209466120103
100% Corpus,2,0.31,symmetric,0.440743822906672
100% Corpus,2,0.61,0.01,0.4894601260728443
100% Corpus,2,0.61,0.31,0.44633831114376854
100% Corpus,2,0.61,0.61,0.38906274225932863
100% Corpus,2,0.61,0.9099999999999999,0.3989493554528418
100% Corpus,2,0.61,symmetric,0.4702571364845161
100% Corpus,2,0.9099999999999999,0.01,0.5067056996062197
100% Corpus,2,0.9099999999999999,0.31,0.5047997083127848
100% Corpus,2,0.9099999999999999,0.61,0.4075590204578138
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.34464587815630965
100% Corpus,2,0.9099999999999999,symmetric,0.5076659549410703
100% Corpus,2,symmetric,0.01,0.5040269867965442
100% Corpus,2,symmetric,0.31,0.4550476590171334
100% Corpus,2,symmetric,0.61,0.41636092009761355
100% Corpus,2,symmetric,0.9099999999999999,0.507803045539179
100% Corpus,2,symmetric,symmetric,0.48653894064626557
100% Corpus,2,asymmetric,0.01,0.4804650604470253
100% Corpus,2,asymmetric,0.31,0.47517717396596987
100% Corpus,2,asymmetric,0.61,0.4795283752304461
100% Corpus,2,asymmetric,0.9099999999999999,0.4669699893925964
100% Corpus,2,asymmetric,symmetric,0.49112560905555236
100% Corpus,3,0.01,0.01,0.49909195782881693
100% Corpus,3,0.01,0.31,0.48400212873283455
100% Corpus,3,0.01,0.61,0.41829408478598634
100% Corpus,3,0.01,0.9099999999999999,0.4888084911255226
100% Corpus,3,0.01,symmetric,0.4811865111963386
100% Corpus,3,0.31,0.01,0.47557043462916937
100% Corpus,3,0.31,0.31,0.4132565465799141
100% Corpus,3,0.31,0.61,0.4380326383007852
100% Corpus,3,0.31,0.9099999999999999,0.552422043551099
100% Corpus,3,0.31,symmetric,0.46643712290862976
100% Corpus,3,0.61,0.01,0.49504390138369747
100% Corpus,3,0.61,0.31,0.4408683435975241
100% Corpus,3,0.61,0.61,0.3818942519026175
100% Corpus,3,0.61,0.9099999999999999,0.39160217449766155
100% Corpus,3,0.61,symmetric,0.4855155315413562
100% Corpus,3,0.9099999999999999,0.01,0.5085052217683709
100% Corpus,3,0.9099999999999999,0.31,0.4984638235330112
100% Corpus,3,0.9099999999999999,0.61,0.4092790343826988
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3498134760508953
100% Corpus,3,0.9099999999999999,symmetric,0.5183539852393183
100% Corpus,3,symmetric,0.01,0.5019698833747225
100% Corpus,3,symmetric,0.31,0.45963854882569677
100% Corpus,3,symmetric,0.61,0.421167353168692
100% Corpus,3,symmetric,0.9099999999999999,0.5153711810755416
100% Corpus,3,symmetric,symmetric,0.47786469556381395
100% Corpus,3,asymmetric,0.01,0.4845864708151379
100% Corpus,3,asymmetric,0.31,0.47098633316505606
100% Corpus,3,asymmetric,0.61,0.46118709710712685
100% Corpus,3,asymmetric,0.9099999999999999,0.4749981964319726
100% Corpus,3,asymmetric,symmetric,0.4874872431889076
100% Corpus,4,0.01,0.01,0.500623735534065
100% Corpus,4,0.01,0.31,0.4730394807255577
100% Corpus,4,0.01,0.61,0.4109771355741473
100% Corpus,4,0.01,0.9099999999999999,0.4815702017617271
100% Corpus,4,0.01,symmetric,0.48180468407730015
100% Corpus,4,0.31,0.01,0.47184365786510546
100% Corpus,4,0.31,0.31,0.426418978114633
100% Corpus,4,0.31,0.61,0.4394261329640342
100% Corpus,4,0.31,0.9099999999999999,0.532864940524864
100% Corpus,4,0.31,symmetric,0.45430710013648296
100% Corpus,4,0.61,0.01,0.4915310538725888
100% Corpus,4,0.61,0.31,0.4415421583463529
100% Corpus,4,0.61,0.61,0.3985626944077515
100% Corpus,4,0.61,0.9099999999999999,0.38379319888759333
100% Corpus,4,0.61,symmetric,0.49437020399272347
100% Corpus,4,0.9099999999999999,0.01,0.5125534017179417
100% Corpus,4,0.9099999999999999,0.31,0.4907462878302072
100% Corpus,4,0.9099999999999999,0.61,0.402933174057286
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3530773193333415
100% Corpus,4,0.9099999999999999,symmetric,0.5098217035592669
100% Corpus,4,symmetric,0.01,0.5100463829544488
100% Corpus,4,symmetric,0.31,0.4651741093340388
100% Corpus,4,symmetric,0.61,0.41644566827240814
100% Corpus,4,symmetric,0.9099999999999999,0.5200560067725455
100% Corpus,4,symmetric,symmetric,0.47472174467498124
100% Corpus,4,asymmetric,0.01,0.47494054086987464
100% Corpus,4,asymmetric,0.31,0.46645512858994137
100% Corpus,4,asymmetric,0.61,0.45891475803999604
100% Corpus,4,asymmetric,0.9099999999999999,0.47060012387041433
100% Corpus,4,asymmetric,symmetric,0.4940958320697243
100% Corpus,5,0.01,0.01,0.49025287330620665
100% Corpus,5,0.01,0.31,0.4735487202182737
100% Corpus,5,0.01,0.61,0.4029440389367445
100% Corpus,5,0.01,0.9099999999999999,0.5022431596949378
100% Corpus,5,0.01,symmetric,0.47322172941008034
100% Corpus,5,0.31,0.01,0.4847981256396464
100% Corpus,5,0.31,0.31,0.43415148165157474
100% Corpus,5,0.31,0.61,0.43731247719342
100% Corpus,5,0.31,0.9099999999999999,0.5220971745939721
100% Corpus,5,0.31,symmetric,0.4589650879680568
100% Corpus,5,0.61,0.01,0.493092307609455
100% Corpus,5,0.61,0.31,0.4379214242948143
100% Corpus,5,0.61,0.61,0.393737068755375
100% Corpus,5,0.61,0.9099999999999999,0.4053368859301975
100% Corpus,5,0.61,symmetric,0.4856148623868807
100% Corpus,5,0.9099999999999999,0.01,0.5082138263854674
100% Corpus,5,0.9099999999999999,0.31,0.4999412457442002
100% Corpus,5,0.9099999999999999,0.61,0.4067137726646576
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3552940534480594
100% Corpus,5,0.9099999999999999,symmetric,0.5183546681090994
100% Corpus,5,symmetric,0.01,0.5006906094059632
100% Corpus,5,symmetric,0.31,0.4533276252969477
100% Corpus,5,symmetric,0.61,0.41981442677521175
100% Corpus,5,symmetric,0.9099999999999999,0.47976934223263185
100% Corpus,5,symmetric,symmetric,0.47824932075229
100% Corpus,5,asymmetric,0.01,0.47974021873968853
100% Corpus,5,asymmetric,0.31,0.4688884649027987
100% Corpus,5,asymmetric,0.61,0.4540906009890543
100% Corpus,5,asymmetric,0.9099999999999999,0.44846831025915074
100% Corpus,5,asymmetric,symmetric,0.46733141914625476
100% Corpus,6,0.01,0.01,0.4913569691441383
100% Corpus,6,0.01,0.31,0.4622672785046912
100% Corpus,6,0.01,0.61,0.4199237527047487
100% Corpus,6,0.01,0.9099999999999999,0.4745841655175934
100% Corpus,6,0.01,symmetric,0.475288159332716
100% Corpus,6,0.31,0.01,0.4755289423197602
100% Corpus,6,0.31,0.31,0.4312949156858594
100% Corpus,6,0.31,0.61,0.42431685455525264
100% Corpus,6,0.31,0.9099999999999999,0.5120818790179923
100% Corpus,6,0.31,symmetric,0.45934783939636165
100% Corpus,6,0.61,0.01,0.48483710634834687
100% Corpus,6,0.61,0.31,0.44904201318136827
100% Corpus,6,0.61,0.61,0.3842297379683336
100% Corpus,6,0.61,0.9099999999999999,0.38769201911964063
100% Corpus,6,0.61,symmetric,0.48528815690621957
100% Corpus,6,0.9099999999999999,0.01,0.5079073312068572
100% Corpus,6,0.9099999999999999,0.31,0.4960943240003533
100% Corpus,6,0.9099999999999999,0.61,0.4209735100889169
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.35601849730061613
100% Corpus,6,0.9099999999999999,symmetric,0.5156529710015751
100% Corpus,6,symmetric,0.01,0.49688871938861456
100% Corpus,6,symmetric,0.31,0.4587350400844311
100% Corpus,6,symmetric,0.61,0.4170747284784017
100% Corpus,6,symmetric,0.9099999999999999,0.5331868195637963
100% Corpus,6,symmetric,symmetric,0.4687373877227454
100% Corpus,6,asymmetric,0.01,0.48508505616552516
100% Corpus,6,asymmetric,0.31,0.48880070750447074
100% Corpus,6,asymmetric,0.61,0.4818114996934568
100% Corpus,6,asymmetric,0.9099999999999999,0.45291027465714234
100% Corpus,6,asymmetric,symmetric,0.47879789387857585
100% Corpus,7,0.01,0.01,0.49047316458263435
100% Corpus,7,0.01,0.31,0.47205457961821906
100% Corpus,7,0.01,0.61,0.4304010372928162
100% Corpus,7,0.01,0.9099999999999999,0.49412764452426866
100% Corpus,7,0.01,symmetric,0.480205681483751
100% Corpus,7,0.31,0.01,0.46657035248688106
100% Corpus,7,0.31,0.31,0.43190339970699804
100% Corpus,7,0.31,0.61,0.4470005205740484
100% Corpus,7,0.31,0.9099999999999999,0.5471108515691878
100% Corpus,7,0.31,symmetric,0.4567812805785252
100% Corpus,7,0.61,0.01,0.49333623220950545
100% Corpus,7,0.61,0.31,0.4485650182169419
100% Corpus,7,0.61,0.61,0.38139685957935876
100% Corpus,7,0.61,0.9099999999999999,0.3818650639736529
100% Corpus,7,0.61,symmetric,0.47943481646712804
100% Corpus,7,0.9099999999999999,0.01,0.5056758994645538
100% Corpus,7,0.9099999999999999,0.31,0.49290968845597793
100% Corpus,7,0.9099999999999999,0.61,0.41563596103556905
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.35057748560749713
100% Corpus,7,0.9099999999999999,symmetric,0.5117439717700413
100% Corpus,7,symmetric,0.01,0.5019139388568765
100% Corpus,7,symmetric,0.31,0.4565460194113034
100% Corpus,7,symmetric,0.61,0.44208324089983336
100% Corpus,7,symmetric,0.9099999999999999,0.4965198020949771
100% Corpus,7,symmetric,symmetric,0.483278444438374
100% Corpus,7,asymmetric,0.01,0.4897512256598917
100% Corpus,7,asymmetric,0.31,0.48964926669793424
100% Corpus,7,asymmetric,0.61,0.4598903499578502
100% Corpus,7,asymmetric,0.9099999999999999,0.4303273554597708
100% Corpus,7,asymmetric,symmetric,0.4785681213336904
100% Corpus,8,0.01,0.01,0.4904777102555345
100% Corpus,8,0.01,0.31,0.46423998394261573
100% Corpus,8,0.01,0.61,0.4076364499015779
100% Corpus,8,0.01,0.9099999999999999,0.4917043910753612
100% Corpus,8,0.01,symmetric,0.48088438861048494
100% Corpus,8,0.31,0.01,0.4725704591832563
100% Corpus,8,0.31,0.31,0.4394844822832245
100% Corpus,8,0.31,0.61,0.44259837846065136
100% Corpus,8,0.31,0.9099999999999999,0.537117809084281
100% Corpus,8,0.31,symmetric,0.45977932343093597
100% Corpus,8,0.61,0.01,0.49091484345679043
100% Corpus,8,0.61,0.31,0.439838111713894
100% Corpus,8,0.61,0.61,0.3860518180309004
100% Corpus,8,0.61,0.9099999999999999,0.3939579981437308
100% Corpus,8,0.61,symmetric,0.48556155370823084
100% Corpus,8,0.9099999999999999,0.01,0.5049627639103297
100% Corpus,8,0.9099999999999999,0.31,0.5015441385875035
100% Corpus,8,0.9099999999999999,0.61,0.40567199770367973
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.33579648901809717
100% Corpus,8,0.9099999999999999,symmetric,0.5105726427720162
100% Corpus,8,symmetric,0.01,0.5000200154282138
100% Corpus,8,symmetric,0.31,0.4498304016958401
100% Corpus,8,symmetric,0.61,0.43539755538662456
100% Corpus,8,symmetric,0.9099999999999999,0.5420765253690412
100% Corpus,8,symmetric,symmetric,0.47966200425490146
100% Corpus,8,asymmetric,0.01,0.48044033002210734
100% Corpus,8,asymmetric,0.31,0.4715126444038097
100% Corpus,8,asymmetric,0.61,0.47665468557219703
100% Corpus,8,asymmetric,0.9099999999999999,0.48190152023478044
100% Corpus,8,asymmetric,symmetric,0.482089311507484
100% Corpus,9,0.01,0.01,0.5021564384859032
100% Corpus,9,0.01,0.31,0.46531600597847617
100% Corpus,9,0.01,0.61,0.39928885489608834
100% Corpus,9,0.01,0.9099999999999999,0.4880099480122027
100% Corpus,9,0.01,symmetric,0.4918975593963686
100% Corpus,9,0.31,0.01,0.48120182347889245
100% Corpus,9,0.31,0.31,0.43548144753008095
100% Corpus,9,0.31,0.61,0.44761398140194925
100% Corpus,9,0.31,0.9099999999999999,0.5357428473424644
100% Corpus,9,0.31,symmetric,0.4585078767569321
100% Corpus,9,0.61,0.01,0.5000350669975131
100% Corpus,9,0.61,0.31,0.436488622634973
100% Corpus,9,0.61,0.61,0.39004076861111747
100% Corpus,9,0.61,0.9099999999999999,0.387331398169492
100% Corpus,9,0.61,symmetric,0.48859527616231146
100% Corpus,9,0.9099999999999999,0.01,0.5017788996837041
100% Corpus,9,0.9099999999999999,0.31,0.4884798286613303
100% Corpus,9,0.9099999999999999,0.61,0.43623331488221034
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.35584680178764977
100% Corpus,9,0.9099999999999999,symmetric,0.5053503103668251
100% Corpus,9,symmetric,0.01,0.5088702574196702
100% Corpus,9,symmetric,0.31,0.45039258757894374
100% Corpus,9,symmetric,0.61,0.41951748391735577
100% Corpus,9,symmetric,0.9099999999999999,0.47433745507426445
100% Corpus,9,symmetric,symmetric,0.4838948919856191
100% Corpus,9,asymmetric,0.01,0.48550045213914084
100% Corpus,9,asymmetric,0.31,0.47121668596280114
100% Corpus,9,asymmetric,0.61,0.4582579129876194
100% Corpus,9,asymmetric,0.9099999999999999,0.4645140117483934
100% Corpus,9,asymmetric,symmetric,0.4839193244185112
100% Corpus,10,0.01,0.01,0.4951290696636178
100% Corpus,10,0.01,0.31,0.44473492407810483
100% Corpus,10,0.01,0.61,0.40856036569040705
100% Corpus,10,0.01,0.9099999999999999,0.4906523319546438
100% Corpus,10,0.01,symmetric,0.47150880948230867
100% Corpus,10,0.31,0.01,0.48368582661005516
100% Corpus,10,0.31,0.31,0.43251972100791536
100% Corpus,10,0.31,0.61,0.4474562419219458
100% Corpus,10,0.31,0.9099999999999999,0.5201052575147594
100% Corpus,10,0.31,symmetric,0.45098842945430356
100% Corpus,10,0.61,0.01,0.491132899078484
100% Corpus,10,0.61,0.31,0.4444615832203599
100% Corpus,10,0.61,0.61,0.400441337774801
100% Corpus,10,0.61,0.9099999999999999,0.3905931857649042
100% Corpus,10,0.61,symmetric,0.49500428737139385
100% Corpus,10,0.9099999999999999,0.01,0.5024259720420808
100% Corpus,10,0.9099999999999999,0.31,0.5023353550634883
100% Corpus,10,0.9099999999999999,0.61,0.41437699761889757
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3484319994879153
100% Corpus,10,0.9099999999999999,symmetric,0.5069558119920509
100% Corpus,10,symmetric,0.01,0.5209926274800296
100% Corpus,10,symmetric,0.31,0.45240873790045566
100% Corpus,10,symmetric,0.61,0.42083243931805814
100% Corpus,10,symmetric,0.9099999999999999,0.49152048325013575
100% Corpus,10,symmetric,symmetric,0.48995366140272517
100% Corpus,10,asymmetric,0.01,0.4693758002605478
100% Corpus,10,asymmetric,0.31,0.4756149587318793
100% Corpus,10,asymmetric,0.61,0.4616599189586732
100% Corpus,10,asymmetric,0.9099999999999999,0.4822299024306266
100% Corpus,10,asymmetric,symmetric,0.4861183314408889
